,url,sentence,title,body,arbitration
0,https://stackoverflow.com/questions/3949260,always the same as: -CODE- . ?,java: Class.isInstance vs Class.isAssignableFrom,"Let clazz be some Class and obj be some Object. Is: -CODE- . always the same as: -CODE- . ? If not, what are the differences?",no
1,https://stackoverflow.com/questions/24104313,Any suggestions?,How do I make a delay in Java?,I am trying to do something in Java and I need something to wait / delay for an amount of seconds in a while loop. -CODE- . I want to build a step sequencer and I'm new to Java. Any suggestions?,no
2,https://stackoverflow.com/questions/1565388,(6 GB Heap)?,Increase heap size in Java,I am working on a Windows 2003 server (64-bit) with 8 GB RAM. How can I increase the heap memory maximum? I am using the -Xmx1500m flag to increase the heap size to 1500 Mb. Can I increase the heap memory to 75% of physical memory (6 GB Heap)?,no
3,https://stackoverflow.com/questions/4646577,How do you define Global variables in Java ?,Global variables in Java,How do you define Global variables in Java ?,no
4,https://stackoverflow.com/questions/517915,Has anyone actually found a use for this?,"When should I use the ""strictfp"" keyword in java?","I've looked up what this does, but does anyone actually have an example of when you would use the strictfp keyword in Java? Has anyone actually found a use for this? Would there be any side-effects of just putting it on all my floating point operations?",no
5,https://stackoverflow.com/questions/5245600,I saw somewhere: -CODE- .,"What does the keyword ""transient"" mean in Java?",I saw somewhere: -CODE- .,no
6,https://stackoverflow.com/questions/29241640,"Also, in the terminal I get this: -CODE- .",Error: Unable to run mksdcard SDK tool,"Keep getting an error in the set-up wizard while trying to install android studio on Ubuntu. -CODE- . Also, in the terminal I get this: -CODE- .",no
7,https://stackoverflow.com/questions/29241640,-CODE- .,Error: Unable to run mksdcard SDK tool,"Keep getting an error in the set-up wizard while trying to install android studio on Ubuntu. -CODE- . Also, in the terminal I get this: -CODE- .",no
8,https://stackoverflow.com/questions/7071281,How is this possible in Android?,Get Android Device Name,How to get Android device name? I am using HTC desire. When I connected it via HTC Sync the software is displaying the Name 'HTC Smith' . I would like to fetch this name via code. How is this possible in Android?,no
9,https://stackoverflow.com/questions/11160952,GoTo Next Iteration in For Loop in java,GoTo Next Iteration in For Loop in java,Is there a token in java that skips the rest of the for loop? Something like VB's Continue in java.,no
10,https://stackoverflow.com/questions/11160952,Is there a token in java that skips the rest of the for loop?,GoTo Next Iteration in For Loop in java,Is there a token in java that skips the rest of the for loop? Something like VB's Continue in java.,no
11,https://stackoverflow.com/questions/11160952,Something like VB's Continue in java.,GoTo Next Iteration in For Loop in java,Is there a token in java that skips the rest of the for loop? Something like VB's Continue in java.,no
12,https://stackoverflow.com/questions/13109588,I imported the required libraries: -CODE- .,Base64 Encoding in Java,"I'm using Eclipse. I have the following line of code: -CODE- . Eclipse marks this line as an error. I imported the required libraries: -CODE- . But again, both of them are shown as errors. I found a similar post here. I used Apache Commons as the solution suggested by including: -CODE- . and importing the JAR files downloaded from: http://commons.apache.org/codec/ But the problem still exists. Eclipse still shows the errors previously mentioned; please advise.",no
13,https://stackoverflow.com/questions/22307516,Additionally I've checked that there are no duplicate JAVA_HOME definitions in .bash_profile or /etc/profile.,Gradle finds wrong JAVA_HOME even though it's correctly set,"When trying to run gradle, I get the following error: -CODE- . However, when I check the JAVA_HOME variable I get: -CODE- . My JAVA_HOME is defined in .bashrc and I have double checked that it is set as the source. Running java -version also confirms that JAVA_HOME is set correctly and is on the PATH. -CODE- . I have also checked that /usr/bin/java symlinks to /etc/alternatives/java which in turn correctly symlinks to /usr/lib/jvm/java-7-oracle/jre/bin/java. Additionally I've checked that there are no duplicate JAVA_HOME definitions in .bash_profile or /etc/profile. So my question is how/why does Gradle find /usr/lib/jvm/default-java, and more importantly how do I point it to the correct directory? Other programs which require the JDK work fine, so I think its a Gradle issue. I've also tried reinstalling Gradle which made no difference. I'm running 64bit Xubuntu (Ubuntu 13.10 base)",no
