	url	sentence	title	body	arbitration
0	https://stackoverflow.com/questions/24641536	"java -version gives me: [1]java version ""1.7.0_55""."	How to set JAVA_HOME in Linux for all users	"I am new to Linux system and there seem to be too many Java folders. java -version gives me: [1]java version ""1.7.0_55"". [2]OpenJDK Runtime Environment (rhel-2.4.7.1.el6_5-x86_64 u55-b13). [3]OpenJDK 64-Bit Server VM (build 24.51-b03, mixed mode). When I am trying to build a Maven project , I am getting error: -CODE- . Could you please tell me which files I need to modify for root as well as not-root user and where exactly is java located?"	no
1	https://stackoverflow.com/questions/23068676	How to get current timestamp in string format in Java?	"How to get current timestamp in string format in Java? ""yyyy.MM.dd.HH.mm.ss"""	"How to get timestamp in string format in Java? ""yyyy.MM.dd.HH.mm.ss"" -CODE- . This is what I have, but Timestamp() requires an parameters..."	no
2	https://stackoverflow.com/questions/23068676	How to get timestamp in string format in Java?	"How to get current timestamp in string format in Java? ""yyyy.MM.dd.HH.mm.ss"""	"How to get timestamp in string format in Java? ""yyyy.MM.dd.HH.mm.ss"" -CODE- . This is what I have, but Timestamp() requires an parameters..."	no
3	https://stackoverflow.com/questions/11943948	I want to execute my program without using an IDE.	"What causes ""Unable to access jar file"" error?"	"I want to execute my program without using an IDE. I've created a jar file and an exectuable jar file. When I double click the exe jar file, nothing happens, and when I try to use the command in cmd it gives me this: -CODE- . I use the command: java -jar Calculator.jar. How I created the jar: [1]Right click on project folder (Calculator) . [2]Select. [3]Click on Java Folder and select ""Exectuable Jar File"", then select next. [4]Launch Configuration: Main - Calculator. [5]Create Export Destination. [6]Hit ""Finish"" and profit! Well, not really.."	no
4	https://stackoverflow.com/questions/9043981	I have this date object: -CODE- .	How to add minutes to my Date	"I have this date object: -CODE- . value of d1 is Fri Jan 07 17:40:00 PKT 2011. Now I am trying to add 10 minutes to the date above. -CODE- . Value of newTime changes to 2011-50-07 17:50 but it should be 07-01-2011 17:50. It adds minutes correctly but it also changes month, don't know why!"	no
5	https://stackoverflow.com/questions/9043981	"but it also changes month,"	How to add minutes to my Date	"I have this date object: -CODE- . value of d1 is Fri Jan 07 17:40:00 PKT 2011. Now I am trying to add 10 minutes to the date above. -CODE- . Value of newTime changes to 2011-50-07 17:50 but it should be 07-01-2011 17:50. It adds minutes correctly but it also changes month, don't know why!"	no
6	https://stackoverflow.com/questions/589870	Should I use Java date and time classes or go with a 3rd party library like Joda Time?	Should I use Java date and time classes or go with a 3rd party library like Joda Time?	"I'm creating a web based system which will be used in countries from all over the world. One type of data which must be stored is dates and times. What are the pros and cons of using the Java date and time classes compared to 3rd party libraries such as Joda time? I guess these third party libraries exist for a good reason, but I've never really compared them myself."	no
7	https://stackoverflow.com/questions/6389827	I abhore doing things like: -CODE- .	String variable interpolation Java	"String building in Java confounds me. I abhore doing things like: -CODE- . Or, using StringBuilder, something like this: -CODE- . SURELY I'm missing something. There has GOT to be a better way. Something like: Instead of: -CODE- . do: -CODE- . or: -CODE- ."	no
8	https://stackoverflow.com/questions/6389827	Something like: Instead of: -CODE- . do: -CODE- .	String variable interpolation Java	"String building in Java confounds me. I abhore doing things like: -CODE- . Or, using StringBuilder, something like this: -CODE- . SURELY I'm missing something. There has GOT to be a better way. Something like: Instead of: -CODE- . do: -CODE- . or: -CODE- ."	no
9	https://stackoverflow.com/questions/9306202	For example: -CODE- .	regex for matching something if it is not preceded by something else	"So with regex in java, I want to write a regex that will match if and only if the pattern is not preceded by certain characters. For example: -CODE- . I want to match if bar is not preceded by foo. So output would be: -CODE- . I know this is probably a very simple question. I am trying to learn regex, but in the meantime I need something to work now."	no
10	https://stackoverflow.com/questions/9306202	I want to match if bar is not preceded by foo.	regex for matching something if it is not preceded by something else	"So with regex in java, I want to write a regex that will match if and only if the pattern is not preceded by certain characters. For example: -CODE- . I want to match if bar is not preceded by foo. So output would be: -CODE- . I know this is probably a very simple question. I am trying to learn regex, but in the meantime I need something to work now."	no
11	https://stackoverflow.com/questions/9306202	So output would be: -CODE- .	regex for matching something if it is not preceded by something else	"So with regex in java, I want to write a regex that will match if and only if the pattern is not preceded by certain characters. For example: -CODE- . I want to match if bar is not preceded by foo. So output would be: -CODE- . I know this is probably a very simple question. I am trying to learn regex, but in the meantime I need something to work now."	no
12	https://stackoverflow.com/questions/8405087	What is this date format?	What is this date format? 2011-08-12T20:17:46.384Z	"I have the following date: 2011-08-12T20:17:46.384Z. What format is this? I'm trying to parse it with Java 1.4 via DateFormat.getDateInstance().parse(dateStr) and I'm getting: -CODE- . I think I should be using SimpleDateFormat for parsing, but I have to know the format string first. All I have for that so far is yyyy-MM-dd, because I don't know what the T means in this string--something time zone-related? This date string is coming from the lcmis:downloadedOn tag shown on Files CMIS download history media type."	no
13	https://stackoverflow.com/questions/8405087	I'm trying to parse it with Java 1.4 via DateFormat.getDateInstance().parse(dateStr)	What is this date format? 2011-08-12T20:17:46.384Z	"I have the following date: 2011-08-12T20:17:46.384Z. What format is this? I'm trying to parse it with Java 1.4 via DateFormat.getDateInstance().parse(dateStr) and I'm getting: -CODE- . I think I should be using SimpleDateFormat for parsing, but I have to know the format string first. All I have for that so far is yyyy-MM-dd, because I don't know what the T means in this string--something time zone-related? This date string is coming from the lcmis:downloadedOn tag shown on Files CMIS download history media type."	no
14	https://stackoverflow.com/questions/508019	When it's displayed it will be formatted as 9:30am PST.	How to store date/time and timestamps in UTC time zone with JPA and Hibernate	"How can I configure JPA/Hibernate to store a date/time in the database as UTC (GMT) time zone? Consider this annotated JPA entity: -CODE- . If the date is 2008-Feb-03 9:30am Pacific Standard Time (PST), then I want the UTC time of 2008-Feb-03 5:30pm stored in the database. Likewise, when the date is retrieved from the database, I want it interpreted as UTC. So in this case 530pm is 530pm UTC. When it's displayed it will be formatted as 9:30am PST."	no
15	https://stackoverflow.com/questions/123	Java lib or app to convert CSV to XML file?	Java lib or app to convert CSV to XML file?	Is there an existing application or library in Java which will allow me to convert a CSV data file to XML file? The XML tags would be provided through possibly the first row containing column headings.	no
